tmdb_id,title,release_date,year,overview,vote_average,vote_count,popularity,poster_path
1078605,Weapons,2025-08-04,2025,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",7.316,2444,21.6003,/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg
533535,Deadpool & Wolverine,2024-07-24,2024,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",7.569,7987,23.5154,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg
1119878,Ice Road: Vengeance,2025-06-27,2025,"Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",6.307,523,22.3573,/cQN9rZj06rXMVkk76UF1DfBAico.jpg
1117857,In Your Dreams,2025-11-07,2025,Stevie and her little brother Elliot journey into the wildly absurd landscape of their own dreams to ask the Sandman to grant them the perfect family.,7.017,117,20.1421,/ug0TqgmByPCEYzR9lQWQmyAa7sw.jpg
939243,Sonic the Hedgehog 3,2024-12-19,2024,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",7.643,3040,19.7387,/d8Ryb8AunYAuycVKDp5HpdWPKgC.jpg
482600,Japanese Mom,2017-02-09,2017,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",6.6,62,22.8538,/mCDzIKBPBLLOaFSO7WXCNgrg8f2.jpg
1197306,A Working Man,2025-03-26,2025,"Levon Cade left behind a decorated military career in the black ops to live a simple life working construction. But when his boss's daughter, who is like family to him, is taken by human traffickers, his search to bring her home uncovers a world of corruption far greater than he ever could have imagined.",6.707,1664,21.8109,/6FRFIogh3zFnVWn7Z6zcYnIbRcX.jpg
941109,Play Dirty,2025-09-30,2025,"Expert thief Parker gets a shot at a major heist, but to pull it off he and his team must outsmart a South American dictator, the New York mob, and the world's richest man.",6.617,484,20.2589,/ovZ0zq0NwRghtWI1oLaM0lWuoEw.jpg
1124566,Sentimental Value,2025-08-20,2025,"Sisters Nora and Agnes reunite with their estranged father, the charismatic Gustav, a once-renowned director who offers stage actress Nora a role in what he hopes will be his comeback film. When Nora turns it down, she soon discovers he has given her part to an eager young Hollywood star.",7.6,97,22.3334,/pz9NCWxxOk3o0W3v1Zkhawrwb4i.jpg
786892,Furiosa: A Mad Max Saga,2024-05-22,2024,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",7.462,4520,23.4537,/iADOJ8Zymht2JPMoy3R7xceZprc.jpg
823219,Flow,2024-08-29,2024,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",8.125,2469,21.5401,/zME0Ul0w48MKkYBnFRn40M5qgLh.jpg
1376434,Predator: Killer of Killers,2025-06-05,2025,"While three of the fiercest warriors in human history—a Viking raider, a ninja in feudal Japan, and a WWII pilot—are killers in their own right, they are merely prey for their new opponent: the ultimate killer of killers.",7.861,977,20.1584,/2XDQa6EmFHSA37j1t0w88vpWqj9.jpg
574475,Final Destination Bloodlines,2025-05-14,2025,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",7.1,2417,21.7063,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
1072699,Inside Furioza,2025-10-14,2025,"In the wake of murder, new Furioza leader Golden claims the reins of his violent and formidable hooligan gang and takes on a new focus across borders.",6.537,67,20.2409,/dbe1zKVKNBIczdmRcm7jxEphYLz.jpg
360920,The Grinch,2018-11-08,2018,The Grinch hatches a scheme to ruin Christmas when the residents of Whoville plan their annual holiday celebration.,6.871,4281,21.9438,/smxA8yvZ0LzDPer9BIRd4pyOpx1.jpg
1084199,Companion,2025-01-22,2025,"During a weekend getaway at a secluded lakeside estate, a group of friends finds themselves entangled in a web of secrets, deception, and advanced technology. As tensions rise and loyalties are tested, they uncover unsettling truths about themselves and the world around them.",7.045,1891,18.2634,/oCoTgC3UyWGfyQ9thE10ulWR7bn.jpg
539972,Kraven the Hunter,2024-12-11,2024,"Kraven Kravinoff's complex relationship with his ruthless gangster father, Nikolai, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",6.468,2110,19.0455,/i47IUSsN126K11JUzqQIOi1Mg1M.jpg
